className,loc,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bugDensity,type
org.apache.html.dom.HTMLCollectionImpl,366,9,1,0,9,22,18,7,2,3,1.028846154,0.153846154,1,0.0,0.317460317,0,0,38.22222222,17,4.6667,0,0.0,IL
org.apache.xerces.framework.XMLDocumentScanner,2575,47,1,0,23,111,677,7,17,18,0.944317315,0.070175439,15,0.0,0.150724638,0,0,52.57446809,2,1.0426,1,0.0003883495145631,NON
org.apache.html.dom.HTMLBaseElementImpl,28,5,4,0,2,8,10,0,2,5,2.0,0.0,0,0.959183673,0.6,0,0,4.6,1,0.8,0,0.0,IL
org.apache.xerces.validators.datatype.DecimalDatatypeValidator,1409,14,2,0,9,52,75,3,6,8,0.757692308,1.0,3,0.25,0.18452381,0,0,98.21428571,4,1.0714,0,0.0,NON
javax.xml.parsers.FactoryConfigurationError,50,6,3,0,0,10,0,0,0,6,0.0,1.0,0,0.894736842,0.5555555560000001,1,1,7.166666667,3,0.6667,0,0.0,NON
org.apache.html.dom.HTMLImageElementImpl,151,27,4,0,2,33,351,0,2,27,2.0,0.0,0,0.783333333,0.3888888889999999,0,0,4.592592593,1,0.963,0,0.0,IL
org.apache.xerces.dom.events.MutationEventImpl,70,7,2,0,7,9,1,6,1,7,0.972222222,0.0,1,0.6,0.314285714,0,0,7.285714286,1,0.8571,0,0.0,IL
org.apache.xerces.validators.common.CMStateSet,517,12,1,0,7,18,0,6,1,3,0.054545455,0.0,0,0.0,0.416666667,1,1,41.66666667,7,2.75,0,0.0,NON
org.apache.xerces.validators.common.XMLAttributeDecl,114,6,1,0,8,12,3,6,2,6,1.0,0.0,2,0.0,0.5,1,1,13.33333333,1,0.6667,0,0.0,NON
org.apache.html.dom.HTMLBaseFontElementImpl,43,7,4,0,2,11,21,0,2,7,2.0,0.0,0,0.94,0.571428571,0,0,5.1428571430000005,1,0.8571,0,0.0,IL
org.apache.xml.serialize.HTMLSerializer,1190,17,2,1,7,79,102,2,5,10,0.5625,0.5,0,0.835820896,0.210227273,1,8,68.88235294,37,7.4706,0,0.0,NON
org.apache.html.dom.HTMLDocumentImpl,1017,34,3,0,59,83,541,55,9,29,0.96969697,0.8,5,0.7333333329999999,0.284848485,2,4,28.61764706,7,2.2059,0,0.0,IL
org.apache.xerces.validators.schema.SchemaSymbols,132,1,1,0,0,2,0,0,0,1,2.0,0.0,0,0.0,1.0,0,0,3.0,0,0.0,1,0.0075757575757575,NON
org.apache.html.dom.HTMLParamElementImpl,52,9,4,0,2,13,36,0,2,9,2.0,0.0,0,0.921568627,0.5555555560000001,1,1,4.777777778,1,0.8889,0,0.0,IL
org.apache.xerces.dom.CharacterDataImpl,335,14,3,3,9,41,17,3,6,11,0.7179487179999999,0.666666667,1,0.806451613,0.480769231,1,2,22.71428571,6,1.5714,0,0.0,NON
org.apache.xerces.jaxp.DocumentBuilderFactoryImpl,25,4,2,0,1,9,6,0,1,4,2.0,0.0,0,0.884615385,0.583333333,0,0,5.25,1,0.75,1,0.12,NON
org.apache.xerces.utils.IntStack,144,8,1,0,2,14,0,2,0,7,0.357142857,1.0,0,0.0,0.625,0,0,16.75,4,1.375,0,0.0,NON
org.apache.xerces.msg.SchemaMessages,481,3,3,0,0,4,1,0,0,2,0.5,0.0,0,0.974358974,1.0,0,0,159.0,1,0.3333,1,0.0083160083160083,NON
